algorithm,num_procs,num_doubles_per_proc,seconds
alltoall_bruck,16,16,1.1611e-05
alltoall_bruck,16,32,1.74999e-05
alltoall_bruck,16,64,1.89066e-05
alltoall_bruck,16,128,2.49863e-05
alltoall_bruck,16,256,3.60966e-05
alltoall_bruck,16,512,7.84159e-05
alltoall_bruck,16,1024,0.00016551
alltoall_bruck,16,2048,0.00020318
alltoall_bruck,16,4096,0.000417089
alltoall_bruck,16,8192,0.000781298
alltoall_bruck,16,16384,0.00150118
alltoall_bruck,16,32768,0.0031678
alltoall_bruck,16,65536,0.00580969
alltoall_bruck,16,131072,0.0118909
alltoall_bruck,16,262144,0.0253655
alltoall_bruck,16,524288,0.0513417
alltoall_bruck,16,1048576,0.100929
alltoall_bruck,16,2097152,0.199912
alltoall_bruck,16,4194304,0.395654
alltoall_bruck,16,8388608,0.784346
alltoall_bruck,16,16777216,1.56667
alltoall_bruck,16,33554432,3.13242
alltoall_bruck,16,67108864,6.26605
alltoall_local_bruck,16,16,0.000193501
alltoall_local_bruck,16,32,9.30071e-05
alltoall_local_bruck,16,64,7.91073e-05
alltoall_local_bruck,16,128,8.51154e-05
alltoall_local_bruck,16,256,8.66175e-05
alltoall_local_bruck,16,512,9.88007e-05
alltoall_local_bruck,16,1024,0.000129795
alltoall_local_bruck,16,2048,0.000169778
alltoall_local_bruck,16,4096,0.000254703
alltoall_local_bruck,16,8192,0.000441194
alltoall_local_bruck,16,16384,0.0013356
alltoall_local_bruck,16,32768,0.0015028
alltoall_local_bruck,16,65536,0.00305781
alltoall_local_bruck,16,131072,0.0068934
alltoall_local_bruck,16,262144,0.0166302
alltoall_local_bruck,16,524288,0.0363004
alltoall_local_bruck,16,1048576,0.0723062
alltoall_local_bruck,16,2097152,0.144106
alltoall_local_bruck,16,4194304,0.30212
alltoall_local_bruck,16,8388608,0.612175
alltoall_local_bruck,16,16777216,1.22091
alltoall_local_bruck,16,33554432,2.43976
alltoall_local_bruck,16,67108864,4.87749
